baseline_id,fault_id,grad_norm_abs_diff,instance_id,loss_abs_diff,param_update_rel_l2,step,torch4ms_grad_norm,torch4ms_loss,torch4ms_status,torch_grad_norm,torch_loss,torch_status
r_direct,GR-03,0.0,GR-03-B,1.1920928955078125e-07,1.4563312661973164e-08,1,0.6394991278648376,1.2661385536193848,ok,0.6394991278648376,1.2661386728286743,ok
r_direct,GR-04,0.0,GR-04-A,0.0,1.125613262245603e-07,1,0.33095645904541016,0.8475249409675598,ok,0.33095645904541016,0.8475249409675598,ok
r_direct,GR-04,5.960464477539063e-08,GR-04-B,0.0,0.0,1,0.6482442617416382,0.9507361650466919,ok,0.6482442021369934,0.9507361650466919,ok
r_direct,GR-06,0.0,GR-06-A,2.384185791015625e-07,6.21486542361486e-08,1,1.1988321542739868,1.9465463161468506,ok,1.1988321542739868,1.9465465545654297,ok
r_direct,GR-06,5.960464477539063e-08,GR-06-B,1.1920928955078125e-07,0.8972127170359914,1,0.7616783976554871,1.0405226945877075,ok,0.7616783380508423,1.040522575378418,ok
r_direct,GR-08,0.0,GR-08-A,0.0,0.0,1,0.296615868806839,1.0932762622833252,ok,0.296615868806839,1.0932762622833252,ok
r_direct,GR-08,0.0,GR-08-B,2.384185791015625e-07,6.21486542361486e-08,1,1.1988321542739868,1.9465463161468506,ok,1.1988321542739868,1.9465465545654297,ok
r_swe,EX-01,0.0,EX-01-A,5.960464477539063e-08,0.0,1,0.18239682912826538,0.998058021068573,ok,0.18239682912826538,0.9980580806732178,ok
r_swe,EX-01,0.0,EX-01-B,5.960464477539063e-08,0.0,1,0.18239682912826538,0.998058021068573,ok,0.18239682912826538,0.9980580806732178,ok
r_swe,EX-02,1.862645149230957e-09,EX-02-A,1.1641532182693481e-10,0.0,1,0.012701451778411865,0.0005377563065849245,ok,0.012701449915766716,0.0005377561901696026,ok
r_swe,EX-02,1.862645149230957e-09,EX-02-B,1.1641532182693481e-10,0.0,1,0.012701451778411865,0.0005377563065849245,ok,0.012701449915766716,0.0005377561901696026,ok
r_swe,EX-03,0.0,EX-03-A,9.313225746154785e-10,0.0,1,0.017558498308062553,0.009249023161828518,ok,0.017558498308062553,0.009249022230505943,ok
r_swe,EX-03,0.0,EX-03-B,9.313225746154785e-10,0.0,1,0.017558498308062553,0.009249023161828518,ok,0.017558498308062553,0.009249022230505943,ok
r_swe,EX-04,0.0,EX-04-A,5.960464477539063e-08,1.1916382483698346e-07,1,10.702357292175293,0.31816789507865906,ok,10.702357292175293,0.31816795468330383,ok
r_swe,EX-04,0.0,EX-04-B,5.960464477539063e-08,1.1916382483698346e-07,1,10.702357292175293,0.31816789507865906,ok,10.702357292175293,0.31816795468330383,ok
r_swe,EX-05,0.0,EX-05-A,0.0,0.0,1,529.5950927734375,16.230960845947266,ok,529.5950927734375,16.230960845947266,ok
r_swe,EX-05,0.0,EX-05-B,0.0,0.0,1,529.5950927734375,16.230960845947266,ok,529.5950927734375,16.230960845947266,ok
