api_cost_usd,attempts,baseline_id,blind,bridge_clean_control_reason,bridge_clean_control_status,compile_status,completion_tokens,covered,effective_rounds,execution_status,expected_model_variant,failure_reason,fault_id,fault_layer,fault_triggered,final_patch,formal_table1_evidence,gradient_status,instance_id,instance_label,layer,low_hint,max_grad_norm_abs_diff,max_loss_abs_diff,max_param_update_rel_l2,model,model_binding_valid,model_id,model_name,model_variant,numerical_status,observed_model_variants,oracle,out_of_scope_edit_count,paired_adapter,paired_evidence_tier,paired_failure_reason,paired_replay_status,paired_steps,passed,patch_count,prompt_tokens,raw_report,real_llm,regression_passed,repair_at_1,repair_at_2,repair_at_4,repair_attempts,repair_round,restore_status,runner_case,runner_error,scope,strict_success,strict_success_paired,strict_success_paired_isolated,task_id,torch4ms_status,torch_status,total_tokens,update_status,validation_status,wall_time_sec,workload_fingerprint
,1,r_exec,True,,pass,,,,1,,mlp,,NU-06,,True,,True,,NU-06-A,A,numerical,False,0.0,9.313225746154785e-10,0.0,,True,M2,Image MLP,mlp,,mlp,core RoPE pairing numeric probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,NU-06,,core_operator,True,True,,,ok,ok,,,verified_restored,6.352729,6d600c3aaffd2bcbac624b927a31f0c24467342a019461d73ce16012e3ab5a9b
,1,r_exec,True,,pass,,,,1,,transformer,,NU-06,,True,,True,,NU-06-B,B,numerical,False,0.0,9.313225746154785e-10,0.0,,True,M3,Transformer Classifier,transformer,,transformer,core RoPE pairing numeric probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,NU-06,,core_operator,True,True,,,ok,ok,,,verified_restored,6.052251,3c84b200ed804f56c56c5ed9262bc35f7e77d5f43b0879f566767be7030b70a8
,4,r_exec,True,,pass,,,,4,,mlp,repair_budget_exhausted,NU-07,,True,,True,,NU-07-A,A,numerical,False,,,,,True,M2,Image MLP,mlp,,mlp,GQA KV repeat private probe,,,,"RuntimeError: For 'MatMulExt' op,  shape1 and shape2 must be broadcastable, but got [const vector]{1, 4, 3, 4} and [const vector]{1, 2, 4, 3}

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/ops/infer/ops_func_impl//matmul_ext.cc:64 CheckMatMulShapes
",torch4ms_core_candidate_failed,,False,0,,,True,False,,,,,,True,NU-07,,core_operator,False,False,,,failed,ok,,,,206.117208,561ba63061b57f7562608cd7fb77ae11577a096211b494b61d9fde14193347f4
,4,r_exec,True,,pass,,,,4,,causal_lm,repair_budget_exhausted,NU-07,,True,,True,,NU-07-B,B,numerical,False,,,,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,GQA KV repeat private probe,,,,"RuntimeError: For 'MatMulExt' op,  shape1 and shape2 must be broadcastable, but got [const vector]{1, 4, 8, 4} and [const vector]{1, 2, 4, 8}

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/ops/infer/ops_func_impl//matmul_ext.cc:64 CheckMatMulShapes
",torch4ms_core_candidate_failed,,False,1,,,True,False,,,,,,True,NU-07,,core_operator,False,False,,,failed,ok,,,,186.693241,180b88c3d17a31456f7e7ad4372e19d933e2251f8173765478c28915f2815b41
,1,r_exec,True,,pass,,,,1,,transformer,,GR-01,,True,,True,,GR-01-A,A,gradient_update,False,0.0,5.960464477539063e-08,0.0,,True,M3,Transformer Classifier,transformer,,transformer,candidate gradient/update probe,,torch4ms_gradient_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,GR-01,,candidate,True,True,,,ok,ok,,,verified_restored,6.662592,b92bc81911b2df197b004ab916c1b5c2748feb80e5cfe391f2db3f0ea78ad9a0
,1,r_exec,True,,pass,,,,1,,causal_lm,,GR-01,,True,,True,,GR-01-B,B,gradient_update,False,5.960464477539063e-08,0.0,0.0,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,candidate gradient/update probe,,torch4ms_gradient_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,GR-01,,candidate,True,True,,,ok,ok,,,verified_restored,7.738241,8e065ee0c5d7a85dcc91b0de68dd5ea0009911c82f86c3fc818728f1ced5c27e
,2,r_exec,True,,pass,,,,2,,cnn,,GR-02,,True,,True,,GR-02-A,A,gradient_update,False,0.0,0.0,0.0,,True,M1,CNN,cnn,,cnn,candidate parameter-update probe,,torch4ms_gradient_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,GR-02,,candidate,True,True,,,ok,ok,,,verified_restored,17.462413,364c19731eef1ded2e6887568e4990f92af37be58e9220effc8e00ce8550b8cd
,1,r_exec,True,,pass,,,,1,,mlp,,GR-02,,True,,True,,GR-02-B,B,gradient_update,False,0.0,2.384185791015625e-07,6.21486542361486e-08,,True,M2,Image MLP,mlp,,mlp,candidate parameter-update probe,,torch4ms_gradient_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,GR-02,,candidate,True,True,,,ok,ok,,,verified_restored,11.4,45539c21ea085f1106874a03341709c5088cefca184ee75ab463cb9a75243d9a
,1,r_exec,True,,pass,,,,1,,cnn,,GR-03,,True,,True,,GR-03-A,A,gradient_update,False,0.0,0.0,0.0,,True,M1,CNN,cnn,,cnn,candidate parameter-update probe,,torch4ms_gradient_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,2,,,True,True,,,,,,True,GR-03,,candidate,True,True,,,ok,ok,,,verified_restored,7.615039,92667136a8d2836239f2a7f29c3b9727743105e116f1b5dd0f8dd44fa25d61ff
,1,r_exec,True,,pass,,,,1,,transformer,,GR-03,,True,,True,,GR-03-B,B,gradient_update,False,0.0,1.1920928955078125e-07,1.4563312661973164e-08,,True,M3,Transformer Classifier,transformer,,transformer,candidate parameter-update probe,,torch4ms_gradient_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,GR-03,,candidate,True,True,,,ok,ok,,,verified_restored,11.471244,5d3f8ac8cb24252d6e7acc586ce709e24c8f58394541ad87da519df56e2a1b56
,1,r_exec,True,,pass,,,,1,,cnn,,GR-04,,True,,True,,GR-04-A,A,gradient_update,False,0.0,0.0,0.8508469564430441,,True,M1,CNN,cnn,,cnn,candidate gradient/update probe,,torch4ms_gradient_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,GR-04,,candidate,True,False,,,ok,ok,,,verified_restored,23.005074,be8bef9699ab474e5bb715186f17a09b8eec0044e1f0b2828e5a70bb646521d7
,1,r_exec,True,,pass,,,,1,,causal_lm,,GR-04,,True,,True,,GR-04-B,B,gradient_update,False,5.960464477539063e-08,0.0,0.8964590550039899,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,candidate gradient/update probe,,torch4ms_gradient_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,GR-04,,candidate,True,False,,,ok,ok,,,verified_restored,26.207438,1a73d25ce72e100bfe39f04bc8104fe4622ec4aae1b89d00c8ff4d9a4f5412a5
